timestamp,age,gender,city,seniority_level,position,experience,main_technology,main_language,company_size,company_type,company_business_sector,salary_last_year,net_salary
02.12.2019 11:18:26,33.0,Male,Berlin,Senior,Fullstack Developer,13,PHP,English,50-100,Startup,Tourism,60000.0,65000.0
02.12.2019 11:18:35,29.0,Male,Berlin,Middle,Backend Developer,3,Python,English,10-50,Product,Scientific Activities,55000.0,55000.0
02.12.2019 11:18:56,0.0,Male,Berlin,Middle,Mobile Developer,4,Kotlin,English,1000+,Startup,0,55000.0,70000.0
02.12.2019 11:19:08,30.0,Male,Berlin,Senior,Backend Developer,6,PHP,English,100-1000,Product,Transport,0.0,63000.0
02.12.2019 11:19:37,32.0,Male,Berlin,Senior,Embedded Developer,10,C/C++,English,50-100,Product,Automotive,56000.0,66000.0
02.12.2019 11:20:30,33.0,Male,Berlin,Middle,Machine Learning Engineer,11,Python,English,1000+,Product,Сommerce,75000.0,80000.0
02.12.2019 11:21:26,34.0,Male,Berlin,Senior,Backend Developer,12,Java,English,50-100,Startup,0,76000.0,85000.0
02.12.2019 11:21:31,38.0,Male,Berlin,Lead,Manager,15,Not Relevant,Deutsch,100-1000,Product,Automotive,75000.0,85000.0
02.12.2019 11:21:38,0.0,Male,Berlin,Lead,Mobile Developer,8,Swift,English,100-1000,Product,Coaching ,63000.0,66000.0
02.12.2019 11:21:52,29.0,Male,Berlin,Senior,Mobile Developer,7,Kotlin,English,100-1000,Product,Сommerce,54000.0,65000.0
02.12.2019 11:21:55,27.0,Male,Berlin,Middle,Fullstack Developer,7,Javascript / Typescript,English,10-50,Startup,Finance / Insurance,60000.0,63000.0
02.12.2019 11:22:36,31.0,Male,Berlin,Senior,Backend Developer,8,Go,English,100-1000,Product,Gaming,0.0,65000.0
02.12.2019 11:22:43,23.0,Male,Berlin,Senior,DevOps,6,AWS,English,10-50,Startup,Manufacture,63000.0,83000.0
02.12.2019 11:23:23,27.0,Male,Berlin,Senior,"Designer (UI, UX)",9,Not Relevant,English,100-1000,Product,Manufacture,72800.0,71500.0
02.12.2019 11:23:31,33.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,English,10-50,Startup,Customer Support,68000.0,70000.0
02.12.2019 11:24:20,0.0,Male,Berlin,Senior,Backend Developer,7,Java,English,100-1000,Startup,Transport,72000.0,80000.0
