timestamp,age,gender,city,position,experience,seniority_level,main_technology,other_technologies,main_language,company_size,company_type,covid_job_loss,salary_last_year,net_salary
24/11/2020 11:14:15,26.0,Male,Munich,Software Engineer,5,Senior,TypeScript,"Kotlin, Javascript / Typescript",English,51-100,Product,No,85000.0,85000.0
24/11/2020 11:14:16,26.0,Male,Berlin,Backend Developer,7,Senior,Ruby,0,English,101-1000,Product,No,87000.0,80000.0
24/11/2020 11:14:21,29.0,Male,Berlin,Software Engineer,12,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",English,101-1000,Product,Yes,200000.0,240000.0
24/11/2020 11:15:24,28.0,Male,Berlin,Frontend Developer,4,Junior,Javascript,0,English,51-100,Startup,No,0.0,54000.0
24/11/2020 11:15:46,37.0,Male,Berlin,Backend Developer,17,Senior,C# .NET,".NET, SQL, AWS, Docker",English,101-1000,Product,No,62000.0,62000.0
24/11/2020 11:15:53,32.0,Male,Berlin,DevOps,5,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",English,11-50,Startup,No,81000.0,81000.0
24/11/2020 11:16:35,37.0,Male,Berlin,Frontend Developer,6,Middle,Javascript,0,English,11-50,Product,No,0.0,57000.0
24/11/2020 11:16:44,24.0,Male,Berlin,Frontend Developer,5,Senior,Typescript,Javascript / Typescript,English,1000+,Product,No,65000.0,65000.0
24/11/2020 11:17:24,29.0,Male,Berlin,Backend Developer,8,Senior,PHP,"SQL, AWS, Docker",English,101-1000,Product,No,55000.0,56000.0
24/11/2020 11:17:50,35.0,Male,Berlin,Software Engineer,15,Lead,Java,0,English,101-1000,Product,No,90000.0,95000.0
24/11/2020 11:18:06,32.0,Female,Hamburg,Data Engineer,2,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",German,101-1000,Consulting / Agency,No,52500.0,52500.0
24/11/2020 11:18:16,0.0,Male,Berlin,Software Engineer,25,Senior,C++,"Python, C/C++, SQL",English,11-50,Product,Yes,93000.0,100101.0
24/11/2020 11:18:22,0.0,0,Berlin,Software Engineer,0,Lead,PHP,0,English,1000+,0,No,0.0,130000.0
24/11/2020 11:18:26,34.0,Male,Berlin,Software Engineer,14,Senior,Typescript,"PHP, Javascript / Typescript, AWS",English,11-50,Startup,No,0.0,70000.0
24/11/2020 11:18:40,28.0,Male,Berlin,Designer (UI/UX),11,Senior,0,0,English,1000+,Product,Yes,66000.0,84400.0
24/11/2020 11:18:41,31.0,Male,Wolfsburg,Backend Developer,5,Senior,Kotlin,0,English,101-1000,Consulting / Agency,No,77000.0,77000.0
24/11/2020 11:18:52,29.0,Male,Hamburg,Backend Developer,7,Middle,Ruby,"Go, Kubernetes, Docker",English,1000+,Product,No,58500.0,60350.0
24/11/2020 11:19:10,41.0,Male,Berlin,Product Manager,18,Senior,0,SQL,English,51-100,Startup,Yes,100000.0,78000.0
24/11/2020 11:20:03,27.0,Male,Berlin,Backend Developer,8,Senior,PHP,0,English,1000+,Product,No,55000.0,60000.0
24/11/2020 11:20:49,34.0,Male,Berlin,Mobile Developer,11,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",English,101-1000,Product,No,150000.0,160000.0
24/11/2020 11:21:10,34.0,Male,Berlin,DevOps,13,Senior,0,0,English,1000+,Product,other,90000.0,103000.0
24/11/2020 11:21:18,34.0,Male,Berlin,Software Architect,15,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",English,1000+,Product,No,99000.0,100000.0
24/11/2020 11:22:57,25.0,Male,Berlin,Software Engineer,5,Senior,Javascript,"Javascript / Typescript, AWS, Docker",German,1000+,Product,No,0.0,65000.0
24/11/2020 11:23:11,59.0,Male,Berlin,Backend Developer,30,Senior,Java,"Kotlin, Java / Scala, SQL",German,101-1000,Product,No,71000.0,69000.0
24/11/2020 11:23:53,36.0,Male,Berlin,Software Engineer,17,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",English,101-1000,Product,No,65000.0,70000.0
24/11/2020 11:25:03,38.0,Male,Berlin,Team Lead,18,Lead,iOS,"Swift, AWS",English,101-1000,Product,Yes,82000.0,84000.0
24/11/2020 11:25:20,24.0,Male,Berlin,DevOps,6,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",English,101-1000,Product,No,63000.0,85000.0
24/11/2020 11:25:32,37.0,Male,Berlin,Test manager,6,Middle,Charles,0,German,1000+,Media,No,45000.0,48400.0
24/11/2020 11:25:35,0.0,Male,Berlin,DevOps,14,Senior,0,"Python, Go, AWS, Kubernetes, Docker",English,101-1000,Product,No,65000.0,74000.0
24/11/2020 11:26:16,40.0,Male,Berlin,Product Manager,13,Senior,SQL,Python,English,101-1000,Product,No,0.0,70000.0
24/11/2020 11:26:59,29.0,Male,Berlin,Software Engineer,6,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",English,101-1000,Product,No,78000.0,90000.0
24/11/2020 11:27:34,31.0,Male,Berlin,Backend Developer,5,Middle,java,Kotlin,English,101-1000,Startup,No,0.0,65000.0
24/11/2020 11:27:39,29.0,Female,Berlin,QA Engineer,7,Middle,0,Javascript / Typescript,English,51-100,Startup,No,0.0,47000.0
24/11/2020 11:27:49,39.0,Male,Berlin,Software Engineer,8,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",English,51-100,Startup,No,80000.0,80000.0
24/11/2020 11:28:12,27.0,Male,Berlin,Software Engineer,8,Middle,Javascript,0,English,101-1000,Product,No,0.0,63101.0
24/11/2020 11:28:14,33.0,Male,Berlin,Data Scientist,5,Lead,Python,"Python, R, Google Cloud, Docker",English,1000+,Product,No,85000.0,230000.0
24/11/2020 11:28:58,28.0,Female,Berlin,Designer (UI/UX),7,Middle,Figma,0,German,1000+,Product,No,37000.0,45000.0
24/11/2020 11:29:18,30.0,Male,Berlin,Software Engineer,8,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",English,101-1000,Product,No,75500.0,80000.0
24/11/2020 11:29:38,28.0,Male,Berlin,Backend Developer,5,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",English,101-1000,Startup,No,58000.0,75000.0
24/11/2020 11:29:55,38.0,Male,Berlin,DevOps,10,Senior,Go/Python,"AWS, Kubernetes, Docker",English,51-100,Startup,No,65000.0,70000.0
24/11/2020 11:30:00,29.0,Male,Berlin,Frontend Developer,7,Senior,React,Javascript / Typescript,English,1000+,Product,No,63000.0,84000.0
24/11/2020 11:30:11,49.0,Male,Berlin,Software Engineer,15,Senior,Java,SQL,German,1000+,Product,No,66000.0,68500.0
24/11/2020 11:30:21,32.0,Male,Berlin,Frontend Developer,10,Senior,TypeScript,"AWS, Kubernetes",English,101-1000,Product,Yes,80000.0,105000.0
24/11/2020 11:30:38,33.0,Female,Berlin,Software Engineer,12,Senior,С#,"Python, C/C++, Javascript / Typescript, .NET, SQL",English,1000+,Product,other,116000.0,123200.0
24/11/2020 11:30:45,30.0,Male,Berlin,Software Engineer,6,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",English,1000+,Product,No,108000.0,89000.0
24/11/2020 11:31:01,48.0,Male,Berlin,Software Engineer,25,Senior,Java,"Kotlin, Java / Scala, SQL",English,101-1000,Product,No,75000.0,75000.0
24/11/2020 11:31:38,28.0,Female,Berlin,Designer (UI/UX),5,Senior,0,0,English,1000+,Product,No,0.0,60000.0
24/11/2020 11:31:45,32.0,Male,Berlin,Backend Developer,3,Middle,Java,"AWS, Kubernetes, Docker",English,101-1000,Product,No,62000.0,77000.0
24/11/2020 11:31:50,38.0,Female,Berlin,Backend Developer,12,Senior,0,C/C++,English,1000+,Product,No,63000.0,78000.0
24/11/2020 11:31:51,31.0,Male,Berlin,Software Engineer,7,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",English,101-1000,Startup,No,69000.0,86000.0
24/11/2020 11:32:11,35.0,Male,Berlin,Backend Developer,10,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",English,101-1000,Product,No,87000.0,75000.0
24/11/2020 11:32:24,28.0,Female,Berlin,Designer (UI/UX),7,Middle,Figma,0,German,1000+,Product,No,37000.0,45000.0
24/11/2020 11:32:28,29.0,Female,Berlin,QA Engineer,8,Senior,0,0,English,51-100,Startup,Yes,52000.0,60000.0
24/11/2020 11:32:48,32.0,Male,Berlin,Backend Developer,8,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",English,11-50,Product,No,60000.0,65000.0
24/11/2020 11:32:57,44.0,Male,Berlin,Backend Developer,12,Senior,Java,"SQL, Go, Kubernetes, Docker",English,11-50,Product,No,68000.0,68000.0
