,timestamp,age,gender,city,position,experience,seniority_level,net_salary,salary_last_year,main_language,company_size,company_type,main_technology,company_business_sector,other_technologies,covid_job_loss
0,14/12/2018 12:41:33,43.0,,München,QA,11.0,Senior,77000.0,76200.0,Deutsch,100,Product,,,,
1,14/12/2018 12:42:09,33.0,,München,Software Engineer,8.0,Senior,65000.0,55000.0,Deutsch,50,Product,,,,
2,14/12/2018 12:47:36,32.0,,München,Software Engineer,10.0,Senior,88000.0,73000.0,Deutsch,1000,Product,,,,
3,14/12/2018 12:50:15,25.0,,München,Frontend Developer,6.0,Senior,78000.0,55000.0,English,1000,Product,,,,
4,14/12/2018 12:50:31,39.0,,München,Designer,10.0,Senior,69000.0,60000.0,English,100,Ecom retailer,,,,
5,14/12/2018 12:52:24,37.0,,München,Software Engineer,8.0,Senior,98000.0,96000.0,Deutsch,1000,Insurance,,,,
6,14/12/2018 12:53:47,0.0,,Berlin,Senior Android Developer,5.0,Senior,65000.0,50000.0,English,1000,Product,,,,
7,14/12/2018 12:53:47,36.0,,München,Software Engineer,8.0,Senior,109000.0,105000.0,English,1000,0,,,,
8,14/12/2018 12:54:20,32.0,,Berlin,QA,3.0,Senior,65000.0,58000.0,English,100,Startup,,,,
9,14/12/2018 12:55:44,30.0,,München,Frontend Developer,8.0,Senior,60000.0,48000.0,Deutsch,100,Agency,,,,
10,14/12/2018 12:56:28,40.0,,Berlin,Software Engineer,18.0,Senior,70000.0,57500.0,English,100,Product,,,,
11,14/12/2018 12:56:31,33.0,,Karlsruhe,Software Engineer,8.0,Senior,70000.0,66000.0,English,100,Product,,,,
12,14/12/2018 12:59:58,31.0,,Berlin,QA,0.0,Senior,55000.0,0.0,English,10,Startup,,,,
13,14/12/2018 13:00:13,29.0,,Berlin,Frontend Developer,6.0,Middle,55000.0,55000.0,English,100,Product,,,,
14,14/12/2018 13:03:34,32.0,,München,Software Engineer,11.0,Middle,94500.0,91300.0,Russian,1000,Product,,,,
15,14/12/2018 13:06:18,25.0,,München,QA,3.0,Junior,46000.0,44000.0,English,100,Startup,,,,
16,14/12/2018 13:07:09,33.0,,München,QA,11.0,Senior,68000.0,65000.0,Deutsch,1000,Product,,,,
17,14/12/2018 13:10:26,24.0,,Hamburg,Software Engineer,4.0,Middle,60000.0,47000.0,English,1000,Product,,,,
18,14/12/2018 13:16:09,44.0,,Berlin,Frontend Developer,17.0,Senior,62500.0,62500.0,Deutsch,10,Agency,,,,
19,14/12/2018 13:20:36,37.0,,Berlin,Software Engineer,19.0,Senior,80000.0,70000.0,English,50,Startup,,,,
20,14/12/2018 13:25:17,29.0,,München,Software Engineer,10.0,Senior,132250.0,92600.0,English,1000,Big Tech,,,,
21,14/12/2018 13:25:49,34.0,,Berlin,QA,10.0,Senior,53000.0,53000.0,English,100,Startup,,,,
22,14/12/2018 13:25:58,28.0,,München,Frontend Developer,5.0,Middle,52000.0,40000.0,English,100,Product,,,,
23,14/12/2018 13:28:36,35.0,,Berlin,Head of IT,10.0,Senior,95000.0,95000.0,English,10,Consultancy,,,,
24,14/12/2018 13:29:27,32.0,,München,Software Engineer,4.0,Senior,72000.0,60000.0,English,1000,Agency,,,,
25,14/12/2018 13:29:56,40.0,,München,Operations manager,15.0,Middle,55000.0,55000.0,English,100,Product,,,,
26,14/12/2018 13:32:27,39.0,,München,Frontend Developer,15.0,Senior,77000.0,74000.0,English,100,Product,,,,
27,14/12/2018 13:32:43,38.0,,München,Software Engineer,12.0,Senior,72000.0,72000.0,English,100,Product,,,,
28,14/12/2018 13:33:51,28.0,,München,Software Engineer,8.0,Senior,80000.0,0.0,English,50,Product,,,,
29,14/12/2018 13:33:54,31.0,,Berlin,IOS Developer,5.0,Middle,66000.0,0.0,English,1000,Product,,,,
30,14/12/2018 13:39:08,39.0,,Berlin,DevOps,10.0,Middle,75800.0,66000.0,Deutsch,1000,Corporation,,,,
31,14/12/2018 13:40:40,35.0,,München,Software Engineer,12.0,Senior,84000.0,84000.0,English,100,Startup,,,,
32,14/12/2018 13:43:36,32.0,,München,Software Engineer,10.0,Senior,60000.0,60000.0,English,50,Product,,,,
33,14/12/2018 13:43:50,27.0,,Augsburg ,Software Engineer,4.0,Middle,57000.0,52000.0,Deutsch,100,Product,,,,
